net,length_um
_115_,707.44
_090_,625.34
_149_,602.82
net133,572.86
_105_,499.8
_079_,495.095
clknet_0_clk,481.2
net204,442.95
_138_,430.72
_160_,412.08
clknet_3_7__leaf_clk,387.455
net209,382.41
_127_,367.26
net141,332.66
net205,330.26
_116_,329.08
net88,322.9
net22,312.56
net176,292.92
net137,286.02
net74,284.6
clknet_3_5__leaf_clk,283.48
net40,276.42
net152,276.27
net127,275.62
net143,270.3
net90,269.72
net202,266.42
net10,265.98
net131,264.46
net147,262.28
net107,262.16
net19,261.58
net9,260.24
net171,259.42
net97,254.48
clk,252.33
net159,248.02
net170,248
net117,247.22
net66,245.34
net59,243.98
net34,241.38
clknet_3_4__leaf_clk,236.08
net187,235.26
net15,231.12
clknet_3_0__leaf_clk,231.04
net125,230.18
net38,228.66
net81,225.62
net153,223.52
net178,222.23
clknet_3_3__leaf_clk,221.74
net113,220.46
net149,217.66
net207,215.89
net21,215.56
clknet_3_6__leaf_clk,214.76
clknet_3_2__leaf_clk,211.76
net154,211.04
net181,210.78
net162,209.08
net94,209.04
net142,208.78
net136,207.56
net83,206.44
net210,205.43
net112,201.24
net138,201.04
net144,200.24
net31,199.08
net122,195.72
net79,187.88
net48,181.16
net175,180.04
net14,178.18
net128,175.58
net165,168.86
net45,167.9
_069_,167.64
net100,166.94
net49,166.4
net8,166.24
net185,165.06
net76,162.28
net85,160.92
net115,159.68
net60,159.38
net42,158.22
net39,157.48
net84,156.54
net195,154.74
net1,154.7
net106,152.32
net120,152.16
net184,149.68
net32,149
net119,148.66
net174,148.62
net20,148.5
net156,148
net18,146.08
net163,145.98
net179,145.38
net78,145.2
net177,144.58
net26,144.36
net33,143.3
net50,142.56
net206,141.52
net11,141.3
net93,140.98
net101,140.8
net95,140.48
net118,140.04
net148,139.18
net109,138.96
net73,137.32
net67,136.48
net104,136.4
net23,135.82
net16,135.34
net102,135.12
net51,133.98
net29,133.92
net108,133
net103,132.72
net35,132.08
net65,130.7
net194,129.86
net75,129.34
net155,128.78
net203,128.73
net169,128.6
net110,126.12
net151,124.96
net3,124.86
net92,124.4
net208,122.06
net91,119.56
net77,117.84
net183,117.46
net132,117.34
net199,113.41
net25,113.4
net72,112.68
net164,110.98
net124,109.96
clknet_3_1__leaf_clk,107.49
net56,106.06
net182,105.26
net46,105.06
net158,104.28
net130,102.56
net140,101.14
net43,100.82
net24,100.08
net41,100.08
net68,100.08
net188,99.7
net4,99.64
net44,97.46
net99,96.285
net201,96.14
net192,96.04
net86,93.2
net111,89.28
net71,88.76
net89,88.72
net5,86.54
net121,82.3
net54,82.1
net58,78.14
net96,77.9
net129,75.9
net80,75.76
net139,74.36
net70,73.94
net198,72.52
net190,69.04
net64,64.54
net167,64.1
net150,61.26
net200,61.04
net82,60.58
net17,59.96
net61,56.62
net27,56.54
net30,54.08
net7,53.6
net172,53.08
net28,52.54
net189,48.2
net2,46.88
net193,44.8
net191,43.88
net173,40.14
net196,38.24
net134,37.68
net57,36.68
net105,35.16
net52,32.5
_158_,30.8
net161,29.32
_129_,27.3
net126,27.22
net123,26.88
pwdata[6],26.63
state\[0\],25.44
net186,24.38
net87,24
m_wdata[3],23.83
state\[1\],23.44
net98,21.7
_002_,20.025
m_wdata[15],19.82
_106_,19.38
presetn,19.26
net146,19.12
pwdata[15],18.94
_104_,18.64
prdata[30],18.32
_144_,18.28
pwdata[10],17.66
net13,17.52
net114,17.52
_075_,17.12
_022_,17.005
m_wdata[2],16.84
net37,16.5
_067_,16.46
_140_,16.32
m_addr[0],16.27
m_rdata[27],16.01
net135,15.9
_024_,15.86
_029_,15.6
_136_,15.42
_049_,15.265
_156_,14.88
net63,14.38
m_rdata[28],13.67
m_rdata[5],13.66
m_rdata[22],13.64
m_ready,13.64
_058_,13.3
prdata[6],13.23
_168_,12.64
paddr[19],12.62
net160,12.6
_092_,12.46
m_addr[29],12.43
net214,12.28
prdata[22],12.21
pwdata[11],11.94
net219,11.8
_047_,11.7
_025_,11.48
pwdata[23],11.46
_087_,11.36
m_rdata[0],11.36
m_rdata[12],11.36
paddr[22],11.36
pwdata[19],11.36
_132_,11.32
m_rdata[26],11.26
paddr[23],11.26
paddr[8],11.24
net12,11.16
net180,11.16
net197,10.7
_101_,10.56
m_rdata[8],10.56
prdata[31],10.56
pwdata[18],10.56
paddr[16],10.55
_080_,10.38
paddr[15],10.35
paddr[7],10.34
m_addr[1],10.32
m_addr[20],10.32
m_wdata[11],10.32
m_wdata[7],10.32
m_addr[25],10.11
prdata[25],10.11
paddr[25],10.1
_068_,10.08
net145,10.04
_035_,10
_036_,10
net220,10
pwdata[14],9.88
pwdata[2],9.86
_034_,9.665
_000_,9.64
m_addr[7],9.64
m_rdata[14],9.64
m_rdata[15],9.64
m_rdata[20],9.64
m_rdata[23],9.64
m_rdata[30],9.64
m_rdata[6],9.64
m_wdata[21],9.64
m_wdata[29],9.64
m_wdata[30],9.64
paddr[1],9.64
paddr[20],9.64
paddr[3],9.64
paddr[4],9.64
pclk,9.64
pwdata[22],9.64
pwdata[25],9.64
pwdata[4],9.64
pwdata[5],9.64
pwdata[7],9.64
_052_,9.54
_146_,9.54
m_addr[17],9.52
m_wdata[13],9.52
m_addr[21],9.43
_153_,9.4
m_addr[2],9.4
m_addr[6],9.4
m_addr[9],9.4
m_req,9.4
m_wdata[10],9.4
m_wdata[14],9.4
m_wdata[18],9.4
m_wdata[19],9.4
m_wdata[28],9.4
m_wdata[31],9.4
m_wdata[4],9.4
m_wdata[5],9.4
m_wdata[9],9.4
prdata[10],9.4
prdata[18],9.4
prdata[26],9.4
net62,9.36
_165_,9.34
prdata[23],9.31
_096_,9.18
pwdata[0],9.18
