net,length_um
_086_,169.64
clknet_0_clk,136.12
net29,126.31
net2,116.92
net27,116.49
_067_,112.875
net8,108.98
_088_,107.47
net28,101.08
net24,94.59
_125_,91.04
clknet_3_3__leaf_clk,89.88
net25,87.84
clknet_3_0__leaf_clk,84.565
clk,84.37
clknet_3_7__leaf_clk,80.74
net31,78.78
net3,77
clknet_3_2__leaf_clk,75.18
rx_state\[2\],71.88
net26,70.03
clknet_3_1__leaf_clk,67.76
_073_,65.81
net21,64.74
_078_,63.88
clknet_3_4__leaf_clk,62.78
rx_baud_cnt\[6\],61.405
rx_sync2,60.64
net10,59.16
net19,58.62
_203_,55.2
net30,53.77
tx_bit_cnt\[0\],52.86
net7,52.58
_158_,52.38
clknet_3_5__leaf_clk,51.6
rx_state\[1\],51.25
net18,50.56
net4,49.56
_167_,49.3
rx_baud_cnt\[4\],48.09
_093_,47.6
_000_,47.06
tx_baud_cnt\[0\],46.36
rx_state\[0\],45.435
_065_,44.86
tx_bit_cnt\[1\],44.4
clknet_3_6__leaf_clk,43.8
_131_,43.77
_082_,43.72
_129_,43.7
_140_,41.34
rx_bit_cnt\[0\],40.98
_083_,40.38
_058_,36.67
rx_bit_cnt\[1\],36.24
rx_baud_cnt\[3\],35.96
_110_,35.18
rx_baud_cnt\[5\],34.84
_127_,34.28
rx_bit_cnt\[2\],34.16
_094_,33.88
rx_baud_cnt\[7\],32.42
tx_state\[1\],31.73
tx_baud_cnt\[7\],31.62
rx_state\[3\],30.92
rx_baud_cnt\[8\],30.805
_084_,30.58
tx_baud_cnt\[4\],29.82
_189_,29.22
_077_,28.36
net23,28.26
rx_baud_cnt\[0\],28.06
tx_baud_cnt\[1\],27.42
_148_,27.39
tx_baud_cnt\[5\],26.9
_102_,26.255
_130_,26
net73,25.7
_070_,25.3
net1,25.22
tx_shift_reg\[4\],24.22
_071_,24.2
tx_baud_cnt\[6\],24.16
net16,24.08
rx_baud_cnt\[1\],23.22
rx_shift_reg\[5\],22.78
tx_state\[0\],22.755
_182_,22.46
_138_,22.43
rx_baud_cnt\[2\],22.38
net40,22.38
_081_,21.56
tx_shift_reg\[0\],21.12
tx_shift_reg\[2\],20.545
net49,20.36
net12,19.84
_174_,19.72
tx_baud_cnt\[8\],19.34
_060_,19.26
net63,18.56
_133_,17.92
tx_shift_reg\[6\],17.785
_001_,17.74
net55,17.3
net57,16.58
_171_,16.42
tx_baud_cnt\[2\],16.06
_178_,15.92
_059_,15.66
tx_busy,15.62
_074_,15.6
_190_,15.42
tx_shift_reg\[1\],15.32
_107_,14.84
data_out[1],14.82
_068_,14.68
_061_,14.49
_089_,14.46
data_valid,14.34
net43,14.26
_176_,14.14
rx_shift_reg\[0\],14.06
data_out[0],14
_146_,13.92
net5,13.9
tx_state\[2\],13.76
net38,13.76
_143_,13.66
_064_,13.34
_030_,13.32
_032_,13.22
_126_,13.2
tx_shift_reg\[7\],13.16
net14,12.84
net15,12.82
_162_,12.34
_034_,12.3
_144_,12.26
data_out[2],12.18
data_ready,11.94
data_out[4],11.87
_122_,11.6
_166_,11.58
data_in[5],11.12
_160_,11.06
_157_,11.02
tx_state\[3\],11
_036_,10.92
_004_,10.76
_099_,10.74
_091_,10.54
_031_,10.48
net13,10.32
net50,10.32
net74,10.24
net9,10.06
net17,10.02
_029_,10
_013_,9.98
_161_,9.96
_016_,9.88
net72,9.78
tx_bit_cnt\[2\],9.775
_014_,9.74
data_in[4],9.74
data_in[6],9.74
tx_shift_reg\[3\],9.62
_037_,9.44
_035_,9.36
net6,9.22
data_in[1],9.18
_116_,9.08
_184_,9.08
tx_baud_cnt\[3\],8.98
_076_,8.94
_188_,8.94
_085_,8.9
rst_n,8.72
_051_,8.62
net71,8.48
net34,8.46
_063_,8.36
data_out[6],8.35
_098_,8.32
net64,8.06
_100_,7.98
_181_,7.98
_028_,7.82
data_out[7],7.79
_153_,7.76
_154_,7.66
data_out[5],7.58
_092_,7.56
_103_,7.56
_111_,7.56
_115_,7.56
_177_,7.56
net51,7.56
_015_,7.22
_087_,7.22
_191_,7.2
rx_shift_reg\[7\],7.18
_196_,7.06
_011_,7.045
_017_,6.88
_113_,6.86
_159_,6.86
_080_,6.82
_118_,6.72
_164_,6.72
net58,6.72
_173_,6.5
_033_,6.42
_101_,6.32
_121_,6.26
net68,6.26
tx_out,6.21
_168_,6.14
_095_,6.08
rx_in,5.97
net11,5.945
_090_,5.86
rx_shift_reg\[6\],5.8
_075_,5.74
data_in[7],5.63
net22,5.61
tx_shift_reg\[5\],5.6
_007_,5.48
net70,5.38
_198_,5.34
net47,5.34
net56,5.34
data_in[3],5.29
_149_,5.22
net54,5.22
_096_,5.1
net48,5.06
_027_,5.04
net36,5.02
net44,5.02
_114_,4.98
data_in[0],4.95
data_out[3],4.95
_046_,4.94
_003_,4.92
_106_,4.88
_109_,4.82
_185_,4.8
_187_,4.68
_024_,4.565
_069_,4.56
_057_,4.54
_104_,4.48
_009_,4.46
rx_shift_reg\[2\],4.46
_123_,4.44
_197_,4.42
_006_,4.34
_192_,4.34
_066_,4.22
_025_,4.12
